institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
West Virginia University,Big 12,P5,1,football,Big 12,P5,1.0,127.0,,47642113.0,,35250569.0,,4.0,8.0,0.0,2018.0,95.0,60.0,0.0,0.0,0.0949873628527096,47642113.0,35250569.0
West Virginia University,Big 12,P5,1,basketball,Big 12,P5,1.0,16.0,15.0,10222908.0,5476114.0,10222908.0,5476114.0,21.0,14.0,0.0,2018.0,100.0,50.0,1.0,2500000.0,0.0949873628527096,15699022.0,15699022.0
West Virginia University,Big 12,P5,1,volleyball,Big 12,P5,1.0,,13.0,,1254290.0,,1254290.0,15.0,15.0,0.0,2018.0,100.0,50.0,0.0,0.0,0.0949873628527096,1254290.0,1254290.0
Boston College,ACC,P5,1,football,ACC,P5,1.0,148.0,,47531226.0,,41224780.0,,2.0,10.0,0.0,2018.0,96.0,80.0,0.0,0.0,0.1904630646016087,47531226.0,41224780.0
Boston College,ACC,P5,1,basketball,ACC,P5,1.0,15.0,15.0,9971317.0,2035289.0,10805531.0,6218313.0,11.0,20.0,0.0,2018.0,89.0,29.0,0.0,0.0,0.1904630646016087,12006606.0,17023844.0
Boston College,ACC,P5,1,volleyball,ACC,P5,1.0,,22.0,,2259934.0,,2259934.0,16.0,16.0,0.0,2018.0,100.0,86.0,0.0,0.0,0.1904630646016087,2259934.0,2259934.0
University of California-Berkeley,ACC,P5,1,football,ACC,P5,1.0,120.0,,63954618.0,,46721911.0,,7.0,6.0,0.0,2018.0,85.0,71.0,1.0,3000000.0,0.1336608776533706,63954618.0,46721911.0
University of California-Berkeley,ACC,P5,1,basketball,ACC,P5,1.0,22.0,33.0,13249051.0,10750160.0,14101936.0,10750160.0,22.0,12.0,0.0,2018.0,57.0,21.0,0.0,0.0,0.1336608776533706,23999211.0,24852096.0
University of California-Berkeley,ACC,P5,1,volleyball,ACC,P5,1.0,,18.0,,2873590.0,,2873590.0,9.0,21.0,0.0,2018.0,100.0,100.0,0.0,0.0,0.1336608776533706,2873590.0,2873590.0
Clemson University,ACC,P5,1,football,ACC,P5,1.0,137.0,,86902571.0,,81136726.0,,7.0,6.0,0.0,2018.0,98.0,80.0,1.0,1000000.0,0.0789295020502585,86902571.0,81136726.0
