institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
University of Kansas,Big 12,P5,1,basketball,19.0,14.0,21918945.0,5492126.0,19732078.0,5492126.0
Kansas State University,Big 12,P5,1,basketball,14.0,33.0,10907824.0,4912372.0,10907824.0,4912372.0
Oklahoma State University-Main Campus,Big 12,P5,1,basketball,17.0,14.0,18083335.0,2361366.0,11530565.0,4718546.0
Texas Christian University,Big 12,P5,1,basketball,17.0,14.0,15620468.0,9587284.0,15620468.0,9587284.0
Texas Tech University,Big 12,P5,1,basketball,15.0,15.0,15976185.0,2215872.0,15637329.0,7100215.0
University of Utah,Big 12,P5,1,basketball,18.0,14.0,16981671.0,764775.0,8954515.0,5015772.0
West Virginia University,Big 12,P5,1,basketball,16.0,15.0,10222908.0,5476114.0,10222908.0,5476114.0
Boston College,ACC,P5,1,basketball,15.0,15.0,9971317.0,2035289.0,10805531.0,6218313.0
University of California-Berkeley,ACC,P5,1,basketball,22.0,33.0,13249051.0,10750160.0,14101936.0,10750160.0
Clemson University,ACC,P5,1,basketball,17.0,17.0,12592738.0,6607428.0,12592738.0,6607428.0
Duke University,ACC,P5,1,basketball,15.0,17.0,52729506.0,6243424.0,31868603.0,12300220.0
Florida State University,ACC,P5,1,basketball,16.0,12.0,14557585.0,5736021.0,14557585.0,5736021.0
Georgia Institute of Technology-Main Campus,ACC,P5,1,basketball,15.0,28.0,14536539.0,1219994.0,12013953.0,6654388.0
University of Louisville,ACC,P5,1,basketball,17.0,25.0,22792373.0,8188113.0,14854067.0,6700777.0
University of Miami,ACC,P5,1,basketball,14.0,16.0,17865162.0,7926455.0,14366552.0,7926455.0
University of North Carolina at Chapel Hill,ACC,P5,1,basketball,16.0,32.0,39742088.0,2526799.0,16738604.0,6779610.0
North Carolina State University at Raleigh,ACC,P5,1,basketball,15.0,13.0,18993591.0,1558266.0,11858910.0,6202637.0
University of Pittsburgh-Pittsburgh Campus,ACC,P5,1,basketball,16.0,24.0,13874103.0,5131830.0,11437769.0,5131830.0
Southern Methodist University,ACC,P5,1,basketball,16.0,13.0,16735281.0,7327986.0,16735281.0,7327986.0
Stanford University,ACC,P5,1,basketball,16.0,24.0,10765368.0,7887092.0,10765368.0,7887092.0
Syracuse University,ACC,P5,1,basketball,17.0,13.0,31587705.0,1968506.0,15936295.0,5994083.0
Virginia Polytechnic Institute and State University,ACC,P5,1,basketball,15.0,11.0,8485407.0,2046594.0,9504271.0,4459989.0
University of Virginia-Main Campus,ACC,P5,1,basketball,19.0,38.0,17841957.0,5796602.0,16646407.0,5796602.0
Wake Forest University,ACC,P5,1,basketball,17.0,22.0,13055099.0,4702870.0,13055099.0,4702870.0
University of Notre Dame,ACC,P5,1,basketball,17.0,12.0,13245301.0,9051995.0,13245301.0,9051995.0
Oregon State University,Pac-12,P5,1,basketball,16.0,27.0,9165896.0,5009884.0,6899222.0,5009884.0
Washington State University,Pac-12,P5,1,basketball,14.0,13.0,6640383.0,870584.0,4336028.0,3718741.0
Butler University,Big East,non-P5,1,basketball,14.0,29.0,12918057.0,3168933.0,9560281.0,3200508.0
Creighton University,Big East,non-P5,0,basketball,16.0,11.0,19767613.0,1281546.0,14019614.0,3166071.0
DePaul University,Big East,non-P5,0,basketball,14.0,16.0,12746533.0,5519337.0,12746533.0,5519337.0
Georgetown University,Big East,non-P5,1,basketball,16.0,18.0,17459258.0,4034580.0,17459258.0,4034580.0
Marquette University,Big East,non-P5,0,basketball,20.0,12.0,25734325.0,4774668.0,20053484.0,4774607.0
Providence College,Big East,non-P5,0,basketball,16.0,15.0,12518606.0,5171580.0,12518606.0,5171580.0
Seton Hall University,Big East,non-P5,0,basketball,17.0,15.0,9788925.0,4388420.0,9788925.0,4388420.0
St. John's University-New York,Big East,non-P5,0,basketball,13.0,14.0,31994396.0,6689315.0,31994396.0,6689315.0
Villanova University,Big East,non-P5,1,basketball,15.0,28.0,16554290.0,5158438.0,15910105.0,5158438.0
Xavier University,Big East,non-P5,0,basketball,20.0,16.0,16016940.0,3696345.0,11742338.0,3696344.0
Gonzaga University,WCC,non-P5,0,basketball,19.0,16.0,19510548.0,5850940.0,13588661.0,5699567.0
Saint Mary's College of California,WCC,non-P5,0,basketball,15.0,15.0,8298148.0,2874127.0,8298148.0,2874127.0
University of Denver,Summit League,non-P5,0,basketball,15.0,15.0,3783572.0,2564970.0,3783572.0,2564970.0
University of Illinois Urbana-Champaign,Big Ten,P5,1,volleyball,,19.0,,652337.0,,2768685.0
University of Iowa,Big Ten,P5,1,volleyball,,26.0,,190823.0,,2903001.0
Indiana University-Bloomington,Big Ten,P5,1,volleyball,,26.0,,2567065.0,,2567065.0
University of Maryland-College Park,Big Ten,P5,1,volleyball,,18.0,,812643.0,,2416808.0
University of Michigan-Ann Arbor,Big Ten,P5,1,volleyball,,23.0,,511857.0,,2949958.0
Michigan State University,Big Ten,P5,1,volleyball,,21.0,,4152418.0,,4152418.0
University of Minnesota-Twin Cities,Big Ten,P5,1,volleyball,,17.0,,1438406.0,,3531550.0
University of Nebraska-Lincoln,Big Ten,P5,1,volleyball,,17.0,,5453618.0,,6814082.0
Northwestern University,Big Ten,P5,1,volleyball,,17.0,,1748005.0,,3537732.0
Ohio State University-Main Campus,Big Ten,P5,1,volleyball,19.0,20.0,1498024.0,3161017.0,1498024.0,3161017.0
University of Oregon,Big Ten,P5,1,volleyball,,16.0,,906343.0,,2582926.0
Pennsylvania State University-Main Campus,Big Ten,P5,1,volleyball,20.0,19.0,238463.0,882808.0,1228606.0,3168305.0
Purdue University-Main Campus,Big Ten,P5,1,volleyball,,24.0,,8621165.0,,3237136.0
Rutgers University-New Brunswick,Big Ten,P5,1,volleyball,,17.0,,3208516.0,,3208516.0
University of California-Los Angeles,Big Ten,P5,1,volleyball,22.0,20.0,2454572.0,2770248.0,2454572.0,2770248.0
University of Southern California,Big Ten,P5,1,volleyball,22.0,23.0,1709180.0,3740682.0,1709180.0,3740682.0
University of Washington-Seattle Campus,Big Ten,P5,1,volleyball,,19.0,,1498709.0,,3441059.0
